p,dims,bins,n66
_2, _6, _2, 350
_4, _5, _4, 1000
_2, _7, _2, 690
_1, _7, _6, 1000
_4, _3, _5, 340
_2, _3, _3, 150
_4, _5, _2, 90
_3, _4, _4, 930
_2, _6, _6, 1000
_1, _4, _4, 1000
_3, _4, _4, 930
_3, _5, _2, 120
_1, _3, _4, 690
_4, _4, _4, 690
_2, _3, _7, 1000
_3, _3, _7, 1000
_2, _7, _6, 1000
_3, _5, _2, 120
_1, _5, _3, 1000
_1, _5, _2, 350
_2, _4, _5, 1000
_1, _3, _7, 1000
_3, _5, _2, 120
_4, _6, _2, 180
_1, _5, _2, 350
_3, _4, _5, 1000
_1, _4, _4, 1000
_2, _5, _5, 1000
_4, _4, _7, 1000
_2, _5, _6, 1000
_1, _6, _2, 690
_2, _3, _5, 680
_3, _5, _2, 120
_4, _5, _3, 660
_3, _6, _2, 230
_1, _3, _2, 90
_4, _5, _2, 90
_3, _7, _3, 1000
_3, _7, _4, 1000
_3, _6, _6, 1000
_3, _3, _6, 780
_4, _7, _4, 1000
_2, _5, _2, 180
_2, _4, _2, 90
_1, _3, _3, 300
_3, _7, _2, 460
_4, _4, _5, 1000
_2, _3, _3, 150
_3, _4, _6, 1000
_2, _4, _6, 1000
_1, _5, _5, 1000
_1, _3, _5, 1000
_4, _6, _3, 1000
_4, _7, _6, 1000
_1, _6, _4, 1000
_1, _7, _7, 1000
_4, _4, _3, 220
_3, _6, _6, 1000
_1, _4, _2, 180
_2, _3, _7, 1000
_2, _5, _3, 1000
_1, _7, _5, 1000
_1, _3, _4, 690
_1, _7, _6, 1000
_3, _6, _7, 1000
_1, _7, _4, 1000
_3, _4, _5, 1000
_4, _4, _7, 1000
_2, _7, _6, 1000
_1, _4, _3, 880
_4, _4, _3, 220
_2, _7, _6, 1000
_3, _4, _5, 1000
_1, _4, _4, 1000
_1, _7, _3, 1000
_2, _7, _7, 1000
_3, _4, _2, 60
_2, _5, _7, 1000
_4, _4, _3, 220
_4, _7, _7, 1000
_2, _3, _2, 50
_1, _5, _4, 1000
_2, _5, _5, 1000
_3, _4, _7, 1000
_4, _3, _4, 180
_2, _5, _7, 1000
_4, _7, _3, 1000
_3, _3, _4, 230
_4, _6, _6, 1000
_1, _3, _4, 690
_1, _5, _5, 1000
_2, _3, _4, 350
_3, _6, _3, 1000
_2, _7, _7, 1000
_4, _7, _3, 1000
_1, _5, _2, 350
_4, _6, _6, 1000
_1, _5, _5, 1000
_3, _6, _4, 1000
_4, _4, _3, 220
_2, _5, _3, 1000
_2, _5, _4, 1000
_1, _4, _2, 180
_3, _7, _7, 1000
_1, _3, _7, 1000
_2, _6, _7, 1000
_3, _5, _7, 1000
_1, _7, _6, 1000
_2, _4, _5, 1000
_3, _6, _2, 230
_2, _3, _4, 350
_4, _4, _5, 1000
_3, _6, _7, 1000
_1, _4, _4, 1000
_3, _6, _7, 1000
_2, _3, _4, 350
_2, _6, _6, 1000
_3, _7, _2, 460
_1, _7, _4, 1000
_2, _5, _3, 1000
_4, _5, _7, 1000
_4, _3, _2, 30
_2, _4, _7, 1000
_4, _4, _3, 220
_2, _6, _2, 350
_2, _6, _4, 1000
_1, _6, _3, 1000
_3, _3, _3, 100
_2, _7, _5, 1000
_2, _4, _3, 440
_3, _3, _3, 100
_3, _6, _7, 1000
_2, _5, _6, 1000
_1, _4, _2, 180
_4, _5, _2, 90
_4, _7, _4, 1000
_1, _5, _4, 1000
_2, _6, _3, 1000
_1, _7, _7, 1000
_2, _3, _7, 1000
_2, _4, _6, 1000
_3, _6, _3, 1000
_3, _4, _3, 300
_2, _6, _7, 1000
_4, _4, _4, 690
_2, _7, _7, 1000
_1, _3, _5, 1000
_2, _3, _6, 1000
_1, _4, _5, 1000
_3, _5, _2, 120
_4, _5, _4, 1000
_1, _3, _3, 300
_4, _4, _3, 220
_4, _3, _3, 80
_4, _7, _2, 350
_2, _3, _4, 350
_3, _4, _5, 1000
_1, _4, _3, 880
_2, _3, _5, 680
_3, _3, _2, 30
_4, _4, _5, 1000
_4, _7, _2, 350
_4, _4, _4, 690
_4, _7, _6, 1000
_3, _5, _7, 1000
_4, _6, _6, 1000
_3, _5, _4, 1000
_2, _6, _4, 1000
_1, _3, _7, 1000
_3, _7, _4, 1000
_2, _5, _3, 1000
_1, _6, _2, 690
_4, _7, _4, 1000
_4, _7, _4, 1000
_1, _3, _6, 1000
_2, _7, _2, 690
_2, _5, _7, 1000
_1, _7, _2, 1000
_4, _3, _2, 30
_2, _6, _6, 1000
_3, _5, _5, 1000
_3, _5, _6, 1000
_2, _3, _6, 1000
_1, _7, _3, 1000
_3, _3, _3, 100
_3, _6, _6, 1000
_2, _7, _2, 690
_4, _5, _3, 660
_3, _4, _6, 1000
_1, _5, _2, 350
_1, _4, _6, 1000
_2, _3, _5, 680
_3, _6, _7, 1000
_1, _4, _4, 1000
_4, _6, _7, 1000
_2, _5, _3, 1000
_4, _3, _2, 30
_2, _3, _5, 680
_1, _4, _5, 1000
_3, _7, _6, 1000
_1, _3, _4, 690
_2, _6, _6, 1000
_3, _4, _6, 1000
_4, _6, _5, 1000
_3, _7, _5, 1000
_1, _5, _7, 1000
_1, _4, _7, 1000
_1, _6, _2, 690
_2, _5, _3, 1000
_1, _3, _2, 90
_3, _6, _3, 1000
_1, _3, _5, 1000
_1, _7, _2, 1000
_1, _3, _2, 90
_3, _4, _4, 930
_4, _7, _2, 350
_4, _3, _2, 30
_1, _5, _5, 1000
_2, _4, _6, 1000
_4, _4, _5, 1000
_4, _5, _4, 1000
_4, _7, _4, 1000
_2, _7, _7, 1000
_3, _5, _7, 1000
_3, _3, _2, 30
_1, _5, _3, 1000
_2, _5, _6, 1000
_4, _5, _2, 90
_3, _3, _2, 30
_3, _6, _7, 1000
_3, _7, _5, 1000
_1, _5, _3, 1000
_2, _3, _2, 50
_4, _5, _6, 1000
_3, _7, _7, 1000
_3, _4, _4, 930
_4, _5, _3, 660
_2, _7, _5, 1000
_2, _3, _5, 680
_4, _4, _6, 1000
_4, _3, _3, 80
_1, _6, _2, 690
_4, _4, _7, 1000
_2, _7, _5, 1000
_4, _3, _5, 340
_1, _7, _4, 1000
_1, _5, _2, 350
_4, _5, _4, 1000
_4, _7, _4, 1000
_4, _4, _6, 1000
_3, _5, _3, 880
_3, _7, _4, 1000
_4, _6, _7, 1000
_4, _7, _7, 1000
_1, _6, _5, 1000
_1, _7, _4, 1000
_2, _6, _6, 1000
_3, _5, _6, 1000
